"111","혜인","기계장비 및 관련 물품 도매업","003010"
"112","세아제강지주","기타 금융업","003030"
"113","에이프로젠제약","의약품 제조업","003060"
"114","코오롱글로벌","토목 건설업","003070"
"115","대웅","기타 금융업","003090"
"116","선광","기타 운송관련 서비스업","003100"
"117","디아이","측정 시험 항해 제어 및 기타 정밀기기 제조업 광학기기 제외","003160"
"118","일신방직","방적 및 가공사 제조업","003200"
"119","대원제약","의약품 제조업","003220"
"120","삼양식품","기타 식품 제조업","003230"
"121","태광산업","화학섬유 제조업","003240"
"122","흥아해운","해상 운송업","003280"
"123","한일홀딩스","시멘트 석회 플라스터 및 그 제품 제조업","003300"
"124","대주산업","동물용 사료 및 조제식품 제조업","003310"
"125","하림지주","기타 금융업","003380"
"126","쌍용양회공업","시멘트 석회 플라스터 및 그 제품 제조업","003410"
"127","한진중공업홀딩스","연료용 가스 제조 및 배관공급업","003480"
"128","대한항공","항공 여객 운송업","003490"
"129","LG","기타 금융업","003550"
"130","아이에이치큐","영화 비디오물 방송프로그램 제작 및 배급업","003560"
"131","S&T중공업","자동차 신품 부품 제조업","003570"
"132","넥스트사이언스","기타 비금속광물 광업","003580"
"133","쌍용자동차","자동차용 엔진 및 자동차 제조업","003620"
"134","미창석유공업","석유 정제품 제조업","003650"
"135","포스코케미칼","내화 비내화 요업제품 제조업","003670"
"136","한성기업","수산물 가공 및 저장 처리업","003680"
"137","삼영화학공업","플라스틱제품 제조업","003720"
"138","진양산업","플라스틱제품 제조업","003780"
"139","보령제약","의약품 제조업","003850"
"140","남양유업","낙농제품 및 식용빙과류 제조업","003920"
"141","사조대림","수산물 가공 및 저장 처리업","003960"
"142","롯데정밀화학","기초 화학물질 제조업","004000"
"143","현대제철","1차 철강 제조업","004020"
"144","SG세계물산","상품 종합 도매업","004060"
"145","신흥","기계장비 및 관련 물품 도매업","004080"
"146","한국석유공업","기타 비금속 광물제품 제조업","004090"
"147","태양금속공업","자동차 신품 부품 제조업","004100"
"148","동방","기타 운송관련 서비스업","004140"
"149","한솔홀딩스","기타 금융업","004150"
"150","신세계","종합 소매업","004170"
"151","엔피씨","플라스틱제품 제조업","004250"
"152","남성","기타 전문 도매업","004270"
"153","세방","도로 화물 운송업","004360"
"154","농심","기타 식품 제조업","004370"
"155","송원산업","기타 화학제품 제조업","004430"
"156","세방전지","일차전지 및 축전지 제조업","004490"
"157","깨끗한나라","펄프 종이 및 판지 제조업","004540"
"158","현대비앤지스틸","1차 철강 제조업","004560"
"159","한국가구","생활용품 도매업","004590"
"160","창해에탄올","알코올음료 제조업","004650"
"161","삼천리","연료용 가스 제조 및 배관공급업","004690"
"162","한솔테크닉스","전자부품 제조업","004710"
"163","우리들제약","의약품 제조업","004720"
"164","써니전자","반도체 제조업","004770"
"165","효성","기타 금융업","004800"
"166","덕성","플라스틱제품 제조업","004830"
"167","DRB동일","기타 금융업","004840"
"168","티웨이홀딩스","반도체 제조업","004870"
"169","동일산업","1차 철강 제조업","004890"
