45,HDC현대EP,[089470],유가증권시장상장법인,204,2.73E+11,2.32E+11,3.72E+11,1.72E+10,2.89E+11,5.62E+11
46,HDC현대산업개발,[294870],유가증권시장상장법인,411,2.34E+12,1.85E+12,3.41E+12,2.20E+11,2.13E+12,4.47E+12
47,HRS,[036640],코스닥시장상장법인,202,24277559347,16665992680,56297332433,8177400000,72471634210,96749193557
48,HSD엔진,[082740],유가증권시장상장법인,291,6.54E+11,6.32E+11,4.00E+11,32947142000,2.07E+11,8.61E+11
49,iMBC,[052220],코스닥시장상장법인,631,11470624314,10478533783,21266494432,1.15E+10,53424380976,64895005290
50,ISC,[095340],코스닥시장상장법인,262,32505198622,26028997493,64846262712,7071254000,1.74E+11,2.07E+11
51,JTC,[950170],코스닥시장상장법인,471,33548186429,10029345404,22598631531,4854999899,25169465855,58717652284
52,JW생명과학,[234080],유가증권시장상장법인,212,80363579715,64641348707,57133880276,39586385000,1.18E+11,1.99E+11
53,JW신약,[067290],코스닥시장상장법인,212,75707429673,43493410798,42902947812,20833583000,31990549163,1.08E+11
54,JW중외제약,[001060],유가증권시장상장법인,212,3.27E+11,2.60E+11,3.65E+11,54091805000,2.56E+11,5.83E+11
55,JW홀딩스,[096760],유가증권시장상장법인,649,8.45E+11,5.35E+11,5.93E+11,32260452000,3.88E+11,1.23E+12
56,JYP Ent.,[035900],코스닥시장상장법인,592,36917251140,35122542136,1.11E+11,17942201500,1.57E+11,1.94E+11
57,KBI메탈,[024840],코스닥시장상장법인,242,1.15E+11,94637865694,1.48E+11,16475424000,87811968327,2.03E+11
58,KB오토시스,[024120],코스닥시장상장법인,303,44303637680,34469814118,69446918053,5.75E+09,1.02E+11,1.46E+11
59,KC그린홀딩스,[009440],유가증권시장상장법인,649,4.61E+11,3.30E+11,4.07E+11,11217490000,2.98E+11,7.59E+11
60,KC코트렐,[119650],유가증권시장상장법인,291,1.98E+11,1.70E+11,1.90E+11,6.50E+09,76130021145,2.74E+11
61,KD,[044180],코스닥시장상장법인,411,1.11E+11,72355478974,62047616964,39176652000,43966074025,1.55E+11
62,KEC,[092220],유가증권시장상장법인,261,1.27E+11,93377016731,1.63E+11,58353470000,2.38E+11,3.65E+11
63,KG모빌리언스,[046440],코스닥시장상장법인,582,2.15E+11,2.00E+11,3.23E+11,14953478500,2.40E+11,4.55E+11
64,KG이니시스,[035600],코스닥시장상장법인,582,8.05E+11,6.16E+11,5.14E+11,13952217000,3.74E+11,1.18E+12
65,KG케미칼,[001390],유가증권시장상장법인,201,2.95E+12,1.64E+12,1.65E+12,67374405000,1.40E+12,4.35E+12
66,KH바텍,[060720],코스닥시장상장법인,262,1.31E+11,98782096186,1.42E+11,10585430000,1.89E+11,3.19E+11
67,KISCO홀딩스,[001940],유가증권시장상장법인,241,2.37E+11,2.01E+11,1.12E+12,18476380000,1.32E+12,1.56E+12
68,KJ프리텍,[083470],코스닥시장상장법인,222,35954524542,33638669263,5990552078,12352364500,-16946789286,0
69,KMH,[122450],코스닥시장상장법인,602,2.39E+11,1.48E+11,1.45E+11,0,4.89E+11,7.28E+11
70,KMH하이텍,[052900],코스닥시장상장법인,222,14080961257,10209387153,28971688326,23442749500,68647177435,82728138692
71,KNN,[058400],코스닥시장상장법인,602,14044079901,11008517271,56297415984,66214860000,1.94E+11,2.08E+11
72,KPX케미칼,[025000],유가증권시장상장법인,201,1.08E+11,95219513905,3.08E+11,2.42E+10,4.66E+11,5.74E+11
73,KPX홀딩스,[092230],유가증권시장상장법인,201,3.04E+11,2.32E+11,5.22E+11,21123230000,1.16E+12,1.46E+12
74,KR모터스,[000040],유가증권시장상장법인,319,69606666419,56577363571,58466554360,94722037500,57640246437,1.27E+11
75,KSS해운,[044450],유가증권시장상장법인,501,6.89E+11,1.86E+11,50303942870,11592940000,2.77E+11,9.65E+11
76,KTcs,[058850],유가증권시장상장법인,639,1.85E+11,1.22E+11,2.33E+11,23842500000,1.62E+11,3.47E+11
77,LF,[093050],유가증권시장상장법인,141,1.01E+12,6.18E+11,1.14E+12,1.46E+11,1.37E+12,2.38E+12
78,LG,[003550],유가증권시장상장법인,649,3.44E+12,2.20E+12,3.92E+12,8.79E+11,1.93E+13,2.28E+13
79,LG디스플레이,[034220],유가증권시장상장법인,262,2.31E+13,1.06E+13,1.08E+13,1.79E+12,1.43E+13,3.74E+13
80,LG상사,[001120],유가증권시장상장법인,461,3.80E+12,2.45E+12,2.89E+12,1.94E+11,1.80E+12,5.60E+12
81,LG생활건강,[051900],유가증권시장상장법인,204,2.28E+12,1.74E+12,2.12E+12,88589470000,4.16E+12,6.44E+12
82,LG유플러스,[032640],유가증권시장상장법인,612,8.91E+12,4.61E+12,4.95E+12,2.57E+12,7.02E+12,1.59E+13
83,LG이노텍,[011070],유가증권시장상장법인,262,4.14E+12,2.51E+12,2.90E+12,1.18E+11,2.21E+12,6.35E+12
84,LG전자,[066570],유가증권시장상장법인,264,2.98E+13,1.83E+13,2.18E+13,9.04E+11,0,4.72E+13
85,LG하우시스,[108670],유가증권시장상장법인,222,1.80E+12,1.01E+12,1.23E+12,5.00E+10,9.61E+11,2.76E+12
86,LG화학,[051910],유가증권시장상장법인,201,1.60E+13,8.01E+12,1.29E+13,3.91E+11,1.75E+13,3.35E+13
87,LIG넥스원,[079550],유가증권시장상장법인,252,1.67E+12,1.20E+12,1.40E+12,1.10E+11,6.56E+11,2.32E+12
88,LS,[006260],유가증권시장상장법인,649,6.62E+12,4.31E+12,6.18E+12,1.61E+11,4.37E+12,1.10E+13
89,LS네트웍스,[000680],유가증권시장상장법인,468,6.36E+11,1.50E+11,2.76E+11,3.94E+11,5.36E+11,1.17E+12
90,LS산전,[010120],유가증권시장상장법인,281,1.08E+12,7.38E+11,1.54E+12,1.50E+11,1.36E+12,2.44E+12
91,LS전선아시아,[229640],유가증권시장상장법인,649,2.10E+11,2.05E+11,2.57E+11,15312439500,1.63E+11,3.73E+11
92,MH에탄올,[023150],유가증권시장상장법인,111,3.73E+11,2.68E+11,29206782005,4596763000,83785481781,4.56E+11
93,MP그룹,[065150],코스닥시장상장법인,463,49135227766,38576711711,38841587614,8080840700,31317312975,80452540741
94,MP한강,[219550],코스닥시장상장법인,464,10898090450,10396575950,28473294515,5683127000,29080353003,39978443453
95,0VER,[035420],유가증권시장상장법인,631,5.37E+12,3.34E+12,5.50E+12,16481339500,6.44E+12,1.18E+13
96,NEW,[160550],코스닥시장상장법인,591,1.51E+11,1.27E+11,1.29E+11,0,1.24E+11,2.76E+11
97,NHN벅스,[104200],코스닥시장상장법인,582,24377027208,21974788384,68227871712,7413775000,71573778887,95950806095
98,NHN한국사이버결제,[060250],코스닥시장상장법인,639,1.59E+11,1.39E+11,2.20E+11,11485696500,1.36E+11,2.94E+11
99,NICE,[034310],유가증권시장상장법인,715,1.37E+12,1.14E+12,1.40E+12,18941150000,1.14E+12,2.51E+12
100,NICE평가정보,[030190],코스닥시장상장법인,639,85290163855,70267518320,1.63E+11,30357410000,2.20E+11,3.05E+11
101,OCI,[010060],유가증권시장상장법인,201,2.05E+12,7.98E+11,1.75E+12,1.27E+11,0,5.43E+12
102,RFHIC,[218410],코스닥시장상장법인,264,49162538657,45015508223,1.82E+11,11871151000,2.02E+11,2.51E+11
103,S-Oil,[010950],유가증권시장상장법인,192,1.05E+13,6.45E+12,6.58E+12,2.92E+11,6.45E+12,1.69E+13
104,S&K폴리텍,[091340],코스닥시장상장법인,262,1.58E+11,91524482995,1.31E+11,0,88345970218,2.47E+11
105,S&TC,[100840],유가증권시장상장법인,291,77417519591,55580113247,1.95E+11,3753355500,2.47E+11,3.24E+11
106,S&T모티브,[064960],유가증권시장상장법인,303,3.04E+11,2.33E+11,6.14E+11,73115680000,7.07E+11,1.01E+12
107,S&T중공업,[003570],유가증권시장상장법인,303,2.21E+11,97566604854,4.00E+11,85631742500,6.12E+11,8.33E+11
108,S&T홀딩스,[036530],유가증권시장상장법인,649,6.04E+11,3.77E+11,1.23E+12,8351943000,1.58E+12,2.18E+12
109,SBI핀테크솔루션즈,[950110],코스닥시장상장법인,582,34098739000,32080115000,34080305000,1452667000,3947109000,38045848000
110,SBS,[034120],유가증권시장상장법인,602,5.74E+11,3.02E+11,6.82E+11,91262910000,6.38E+11,1.21E+12
111,SBS미디어홀딩스,[101060],유가증권시장상장법인,602,58401859833,48746510372,2.68E+11,69948095000,6.90E+11,7.49E+11
112,SBS콘텐츠허브,[046140],코스닥시장상장법인,591,43826040364,39916641655,1.61E+11,10731777500,1.58E+11,2.02E+11
113,SCI평가정보,[036120],코스닥시장상장법인,639,6327063137,6040643543,24940970166,1.78E+10,24726741130,31053804267
114,SDN,[099220],코스닥시장상장법인,465,54465308203,43502202524,43563517696,21207733500,71475954366,1.26E+11
115,SFA반도체,[036540],코스닥시장상장법인,261,3.70E+11,3.27E+11,2.33E+11,71403437000,3.22E+11,6.92E+11
116,SG,[255220],코스닥시장상장법인,239,1.53E+11,97217978120,1.15E+11,3657778000,67229829651,2.20E+11
117,SG&G,[040610],코스닥시장상장법인,303,5.25E+11,3.67E+11,4.69E+11,17043598000,6.27E+11,1.15E+12
118,SGA,[049470],코스닥시장상장법인,582,60486344936,45872756652,46793523875,48362249000,52586016633,1.13E+11
119,SGA솔루션즈,[184230],코스닥시장상장법인,582,33850283738,31577805784,32223781489,3667603300,38038733322,71889017060
120,SG세계물산,[004060],유가증권시장상장법인,468,1.15E+11,92965575842,1.65E+11,1.01E+11,2.00E+11,3.15E+11
121,SG충방,[001380],유가증권시장상장법인,303,69990158195,38216307683,46044666937,22482126500,1.29E+11,1.99E+11
122,SH에너지화학,[002360],유가증권시장상장법인,201,23462969642,7578318371,85865829208,55739975000,1.02E+11,1.26E+11
123,SIMPAC,[009160],유가증권시장상장법인,292,2.37E+11,2.19E+11,3.17E+11,32714758000,4.47E+11,6.83E+11
124,SK,[034730],유가증권시장상장법인,649,7.70E+13,3.28E+13,4.02E+13,1.54E+10,5.49E+13,1.32E+14
125,SKC,[011790],유가증권시장상장법인,204,2.32E+12,1.07E+12,9.99E+11,1.88E+11,1.74E+12,4.06E+12
126,SKC 솔믹스,[057500],코스닥시장상장법인,262,1.37E+11,37365233517,79742302892,30747020000,98156337020,2.35E+11
127,SK가스,[018670],유가증권시장상장법인,467,2.42E+12,1.44E+12,1.49E+12,45708905000,1.61E+12,4.02E+12
128,SK네트웍스,[001740],유가증권시장상장법인,467,8.24E+12,4.97E+12,3.47E+12,6.49E+11,2.48E+12,1.07E+13
129,SK디스커버리,[006120],유가증권시장상장법인,649,2.67E+12,1.57E+12,1.90E+12,1.12E+11,2.38E+12,5.05E+12
130,SK디앤디,[210980],유가증권시장상장법인,681,1.12E+12,5.88E+11,7.46E+11,18990164000,3.34E+11,1.46E+12
131,SK머티리얼즈,[036490],코스닥시장상장법인,201,1.03E+12,6.04E+11,2.94E+11,5273836500,4.89E+11,1.52E+12
132,SK바이오랜드,[052260],코스닥시장상장법인,204,55378786020,32152020141,72332951148,7.50E+09,1.53E+11,2.08E+11
133,SK이노베이션,[096770],유가증권시장상장법인,192,1.97E+13,9.07E+12,1.82E+13,4.69E+11,1.98E+13,3.95E+13
134,SK케미칼,[285130],유가증권시장상장법인,202,1.31E+12,7.39E+11,7.13E+11,66000330000,7.21E+11,2.03E+12
135,SK텔레콤,[017670],유가증권시장상장법인,612,2.13E+13,7.37E+12,8.09E+12,4.46E+10,2.27E+13,4.40E+13
136,SK하이닉스,[000660],유가증권시장상장법인,261,1.54E+13,6.83E+12,1.42E+13,3.66E+12,4.83E+13,6.37E+13
137,SM C&C,[048550],코스닥시장상장법인,713,2.01E+11,1.90E+11,2.21E+11,47030513000,1.15E+11,3.16E+11
138,SM Life Design,[063440],코스닥시장상장법인,182,9899054869,6360472063,36126161849,22874577000,52271981282,62171036151
139,SNK,[950180],코스닥시장상장법인,582,1719967707,1314994033,28402317568,0,27969725164,29689692871
140,SPC삼립,[005610],유가증권시장상장법인,107,7.64E+11,4.28E+11,3.76E+11,43145045000,3.25E+11,1.09E+12
141,STX,[011810],유가증권시장상장법인,468,5.13E+11,4.67E+11,4.18E+11,4.93E+10,7.34E+10,5.87E+11
142,STX엔진,[077970],유가증권시장상장법인,291,6.83E+11,3.88E+11,5.52E+11,6.91E+10,2.41E+11,9.24E+11
143,STX중공업,[071970],유가증권시장상장법인,291,3.60E+11,2.40E+11,2.09E+11,70204327500,1.46E+11,5.07E+11
144,TCC스틸,[002710],유가증권시장상장법인,241,2.03E+11,99904627794,1.60E+11,22342500000,1.16E+11,3.19E+11
145,THE E&M,[089230],코스닥시장상장법인,639,50675367783,42885513202,36980628114,10964120700,69040415301,1.20E+11
146,THE MIDONG,[161570],코스닥시장상장법인,265,6236457797,6236457797,24834279451,6895893000,31661064029,37897521826
147,TJ미디어,[032540],코스닥시장상장법인,265,27032230106,7665726725,31626091120,6965804500,76774395444,1.04E+11
148,TPC,[048770],코스닥시장상장법인,291,87432499056,57905214020,74628897770,0,26152640487,1.14E+11
149,UCI,[038340],코스닥시장상장법인,855,17208921593,9281938380,28866801752,16595527500,43436369356,60645290949
150,WISCOM,[024070],유가증권시장상장법인,222,14972177009,12421792443,75096591316,7663219000,1.19E+11,1.34E+11
151,W홀딩컴퍼니,[052300],코스닥시장상장법인,529,59873783621,27988486605,5951976043,67691320903,76505898651,1.36E+11
152,YG PLUS,[037270],유가증권시장상장법인,334,46130497443,27883002683,64780620398,29710352000,1.16E+11,1.62E+11
153,YTN,[040300],코스닥시장상장법인,591,93058167073,16293149641,41169863969,4.20E+10,1.82E+11,2.75E+11
154,YW,[051390],코스닥시장상장법인,468,42030942494,14112172144,65513265713,5677684000,70862983676,1.13E+11
155,가비아,[079940],코스닥시장상장법인,582,66892133798,43317959093,82584719116,6767842000,1.27E+11,1.94E+11
156,가온미디어,[078890],코스닥시장상장법인,264,1.84E+11,1.61E+11,3.07E+11,7392293500,0,3.37E+11
157,가온전선,[000500],유가증권시장상장법인,283,2.77E+11,1.95E+11,2.89E+11,20801735000,2.63E+11,5.39E+11
158,감마누,[192410],코스닥시장상장법인,264,54355810874,28666762104,94217555488,11912002500,48124667452,1.02E+11
159,강남제비스코,[000860],유가증권시장상장법인,204,1.11E+11,59772564746,1.83E+11,0,5.58E+11,6.69E+11
160,강스템바이오텍,[217730],코스닥시장상장법인,211,41727327923,20507677731,61383595446,12042185500,79666449008,1.21E+11
161,강원랜드,[035250],유가증권시장상장법인,912,4.78E+11,4.60E+11,1.84E+12,1.07E+11,3.69E+12,4.17E+12
162,갤럭시아에스엠,[011420],유가증권시장상장법인,911,12390000103,12253345469,18834006273,13774822000,21317848871,33707848974
163,갤럭시아컴즈,[094480],코스닥시장상장법인,582,1.35E+11,1.33E+11,1.79E+11,19614919000,85387503351,2.20E+11
164,게임빌,[063080],코스닥시장상장법인,582,1.57E+11,1.06E+11,64396961556,3297596000,2.57E+11,4.14E+11
165,경남제약,[053950],코스닥시장상장법인,212,10587747286,8220603764,51336917755,8414875500,63104707167,73692454453
166,경농,[002100],유가증권시장상장법인,203,1.95E+11,1.41E+11,2.14E+11,10845875000,2.08E+11,4.03E+11
167,경동나비엔,[009450],유가증권시장상장법인,285,3.38E+11,3.05E+11,3.24E+11,0,2.97E+11,6.34E+11
168,경동도시가스,[267290],유가증권시장상장법인,352,2.78E+11,2.03E+11,2.80E+11,11792657500,3.35E+11,6.13E+11
169,경동인베스트,[012320],유가증권시장상장법인,51,1.85E+11,71570901666,2.34E+11,11825115000,4.13E+11,5.98E+11
170,경동제약,[011040],코스닥시장상장법인,212,49861323513,23965249487,1.39E+11,1.36E+10,2.36E+11,2.86E+11
171,경방,[000050],유가증권시장상장법인,471,6.25E+11,1.76E+11,1.23E+11,13707635000,7.09E+11,1.33E+12
172,경인양행,[012610],유가증권시장상장법인,201,2.36E+11,1.93E+11,2.52E+11,20338182500,2.32E+11,4.68E+11
173,경인전자,[009140],유가증권시장상장법인,262,2798124741,2288421200,44625694746,7853985000,54673924374,57472049115
174,경창산업,[024910],코스닥시장상장법인,303,4.81E+11,3.19E+11,1.97E+11,17909502500,1.52E+11,6.33E+11
175,계룡건설산업,[013580],유가증권시장상장법인,412,1.41E+12,1.09E+12,1.21E+12,44654535000,4.89E+11,1.90E+12
176,계양전기,[012200],유가증권시장상장법인,291,98651288848,68529224366,1.51E+11,1.70E+10,1.90E+11,2.88E+11
177,고려산업,[002140],유가증권시장상장법인,106,1.24E+11,1.09E+11,1.21E+11,0,94077261999,2.18E+11
178,고려신용정보,[049720],코스닥시장상장법인,759,21452491544,16585529490,17672779106,7.15E+09,0,41622314546
179,고려아연,[010130],유가증권시장상장법인,242,1.11E+12,8.00E+11,4.58E+12,9.44E+10,6.73E+12,7.85E+12
